"measure","max_push_pop","nb_threads","non_blocking","try","thread","global_start_sec","global_start_nsec","global_stop_sec","global_stop_nsec","thread_start_sec","thread_start_nsec","thread_stop_sec","thread_stop_nsec"
1,500000,1,0,1,0,1287,607186546,1287,621428301,1287,607250388,1287,621368021
1,500000,1,0,2,0,1287,703275449,1287,717565260,1287,703336637,1287,717504980
1,500000,1,0,3,0,1287,797606388,1287,811839062,1287,797668693,1287,811775918
1,500000,1,1,1,0,1287,908779007,1287,919258965,1287,908842011,1287,919197847
1,500000,1,1,2,0,1287,996184611,1288,6669738,1287,996247196,1288,6606315
1,500000,1,1,3,0,1288,82167528,1288,92654751,1288,82229205,1288,92595379
1,500000,1,2,1,0,1288,190487150,1288,205863459,1288,190548058,1288,205803459
1,500000,1,2,2,0,1288,287114139,1288,302613942,1288,287174908,1288,302550589
1,500000,1,2,3,0,1288,386276513,1288,401623905,1288,386335954,1288,401563974
1,500000,2,0,1,0,1288,495213295,1288,559042972,1288,495274343,1288,559003158
1,500000,2,0,1,1,1288,495213295,1288,559042972,1288,495284541,1288,558879106
1,500000,2,0,2,0,1288,641869938,1288,698522686,1288,641935386,1288,698478681
1,500000,2,0,2,1,1288,641869938,1288,698522686,1288,641943698,1288,698122031
1,500000,2,0,3,0,1288,781969353,1288,845403963,1288,782033195,1288,845361355
1,500000,2,0,3,1,1288,781969353,1288,845403963,1288,782041996,1288,844408753
1,500000,2,1,1,0,1288,934852278,1288,978820982,1288,934915212,1288,977909870
1,500000,2,1,1,1,1288,934852278,1288,978820982,1288,934924781,1288,978782565
1,500000,2,1,2,0,1289,63164861,1289,106659569,1289,63227166,1289,106614725
1,500000,2,1,2,1,1289,63164861,1289,106659569,1289,63236736,1289,105790785
1,500000,2,1,3,0,1289,188233781,1289,227110889,1289,188298112,1289,224496018
1,500000,2,1,3,1,1289,188233781,1289,227110889,1289,188307681,1289,227072892
1,500000,2,2,1,0,1289,323699571,1289,409489649,1289,323762994,1289,409180008
1,500000,2,2,1,1,1289,323699571,1289,409489649,1289,323775147,1289,409452559
1,500000,2,2,2,0,1289,490532851,1289,571652608,1289,490595925,1289,571609022
1,500000,2,2,2,1,1289,490532851,1289,571652608,1289,490605285,1289,569602118
