"nb_threads","pattern","size","value","input_instance","implementation","run_instance","time"
seq,uniform-random,1024,123456,1,parallel,1,0.138848
seq,uniform-random,1024,123456,1,parallel,2,0.139406
seq,uniform-random,1024,123456,1,drake,1,0.202266
seq,uniform-random,1024,123456,1,drake,2,0.176773
seq,uniform-random,1024,123456,2,parallel,1,0.139057
seq,uniform-random,1024,123456,2,parallel,2,0.141083
seq,uniform-random,1024,123456,2,drake,1,0.205967
seq,uniform-random,1024,123456,2,drake,2,0.176423
seq,uniform-random,4096,123456,1,parallel,1,0.569011
seq,uniform-random,4096,123456,1,parallel,2,0.583609
seq,uniform-random,4096,123456,1,drake,1,0.665744
seq,uniform-random,4096,123456,1,drake,2,0.669027
seq,uniform-random,4096,123456,2,parallel,1,0.568383
seq,uniform-random,4096,123456,2,parallel,2,0.568663
seq,uniform-random,4096,123456,2,drake,1,0.688653
seq,uniform-random,4096,123456,2,drake,2,0.690190
seq,uniform-random,16384,123456,1,parallel,1,2.501430
seq,uniform-random,16384,123456,1,parallel,2,2.511907
seq,uniform-random,16384,123456,1,drake,1,2.889758
seq,uniform-random,16384,123456,1,drake,2,2.859655
seq,uniform-random,16384,123456,2,parallel,1,2.478941
seq,uniform-random,16384,123456,2,parallel,2,2.470979
seq,uniform-random,16384,123456,2,drake,1,2.849109
seq,uniform-random,16384,123456,2,drake,2,2.872227
seq,increasing,1024,123456,1,parallel,1,0.060973
seq,increasing,1024,123456,1,parallel,2,0.065234
seq,increasing,1024,123456,1,drake,1,0.102460
seq,increasing,1024,123456,1,drake,2,0.101202
seq,increasing,4096,123456,1,parallel,1,0.223986
seq,increasing,4096,123456,1,parallel,2,0.226151
seq,increasing,4096,123456,1,drake,1,0.355082
seq,increasing,4096,123456,1,drake,2,0.329310
seq,increasing,16384,123456,1,parallel,1,0.910125
seq,increasing,16384,123456,1,parallel,2,0.914735
seq,increasing,16384,123456,1,drake,1,1.249353
seq,increasing,16384,123456,1,drake,2,1.255429
seq,decreasing,1024,123456,1,parallel,1,0.061253
seq,decreasing,1024,123456,1,parallel,2,0.060903
seq,decreasing,1024,123456,1,drake,1,0.102529
seq,decreasing,1024,123456,1,drake,2,0.101762
seq,decreasing,4096,123456,1,parallel,1,0.227339
seq,decreasing,4096,123456,1,parallel,2,0.239911
seq,decreasing,4096,123456,1,drake,1,0.328402
seq,decreasing,4096,123456,1,drake,2,0.331685
seq,decreasing,16384,123456,1,parallel,1,0.925979
seq,decreasing,16384,123456,1,parallel,2,0.911871
seq,decreasing,16384,123456,1,drake,1,1.265348
seq,decreasing,16384,123456,1,drake,2,1.287278
seq,constant,1024,123456,1,parallel,1,0.007194
seq,constant,1024,123456,1,parallel,2,0.007124
seq,constant,1024,123456,1,drake,1,0.032617
seq,constant,1024,123456,1,drake,2,0.060274
seq,constant,4096,123456,1,parallel,1,0.014038
seq,constant,4096,123456,1,parallel,2,0.014038
seq,constant,4096,123456,1,drake,1,0.068167
seq,constant,4096,123456,1,drake,2,0.051265
seq,constant,16384,123456,1,parallel,1,0.044839
seq,constant,16384,123456,1,parallel,2,0.044770
seq,constant,16384,123456,1,drake,1,0.139267
seq,constant,16384,123456,1,drake,2,0.121736
2,uniform-random,1024,123456,1,parallel,1,0.208621
2,uniform-random,1024,123456,1,parallel,2,0.149185
2,uniform-random,1024,123456,1,drake,1,0.167484
2,uniform-random,1024,123456,1,drake,2,0.129140
2,uniform-random,1024,123456,2,parallel,1,0.150862
2,uniform-random,1024,123456,2,parallel,2,0.161756
2,uniform-random,1024,123456,2,drake,1,0.138709
2,uniform-random,1024,123456,2,drake,2,0.125578
2,uniform-random,4096,123456,1,parallel,1,0.301303
2,uniform-random,4096,123456,1,parallel,2,0.289709
2,uniform-random,4096,123456,1,drake,1,0.390423
2,uniform-random,4096,123456,1,drake,2,0.390563
2,uniform-random,4096,123456,2,parallel,1,0.345305
2,uniform-random,4096,123456,2,parallel,2,0.325189
2,uniform-random,4096,123456,2,drake,1,0.390632
2,uniform-random,4096,123456,2,drake,2,0.391610
2,uniform-random,16384,123456,1,parallel,1,1.077819
2,uniform-random,16384,123456,1,parallel,2,1.066225
2,uniform-random,16384,123456,1,drake,1,1.551494
2,uniform-random,16384,123456,1,drake,2,1.545138
2,uniform-random,16384,123456,2,parallel,1,1.094092
2,uniform-random,16384,123456,2,parallel,2,1.057285
2,uniform-random,16384,123456,2,drake,1,1.539621
2,uniform-random,16384,123456,2,drake,2,1.680355
2,increasing,1024,123456,1,parallel,1,0.148347
2,increasing,1024,123456,1,parallel,2,0.136683
2,increasing,1024,123456,1,drake,1,0.098967
2,increasing,1024,123456,1,drake,2,0.086466
2,increasing,4096,123456,1,parallel,1,0.186411
2,increasing,4096,123456,1,parallel,2,0.210787
2,increasing,4096,123456,1,drake,1,0.208970
2,increasing,4096,123456,1,drake,2,0.235232
2,increasing,16384,123456,1,parallel,1,0.536116
2,increasing,16384,123456,1,parallel,2,0.555462
2,increasing,16384,123456,1,drake,1,0.727695
2,increasing,16384,123456,1,drake,2,0.733353
2,decreasing,1024,123456,1,parallel,1,0.244940
2,decreasing,1024,123456,1,parallel,2,0.233276
2,decreasing,1024,123456,1,drake,1,0.086256
2,decreasing,1024,123456,1,drake,2,0.109235
2,decreasing,4096,123456,1,parallel,1,0.985766
2,decreasing,4096,123456,1,parallel,2,0.947072
2,decreasing,4096,123456,1,drake,1,0.220285
2,decreasing,4096,123456,1,drake,2,0.254857
2,decreasing,16384,123456,1,parallel,1,12.013360
2,decreasing,16384,123456,1,parallel,2,11.959301
2,decreasing,16384,123456,1,drake,1,0.765830
2,decreasing,16384,123456,1,drake,2,0.739219
2,constant,1024,123456,1,parallel,1,0.196539
2,constant,1024,123456,1,parallel,2,0.165039
2,constant,1024,123456,1,drake,1,0.054128
2,constant,1024,123456,1,drake,2,0.050497
2,constant,4096,123456,1,parallel,1,0.209669
2,constant,4096,123456,1,parallel,2,0.241937
2,constant,4096,123456,1,drake,1,0.067189
2,constant,4096,123456,1,drake,2,0.067538
2,constant,16384,123456,1,parallel,1,0.570898
2,constant,16384,123456,1,parallel,2,0.618321
2,constant,16384,123456,1,drake,1,0.134797
2,constant,16384,123456,1,drake,2,0.178519
3,uniform-random,1024,123456,1,parallel,1,0.165039
3,uniform-random,1024,123456,1,parallel,2,0.463199
3,uniform-random,1024,123456,1,drake,1,0.150651
3,uniform-random,1024,123456,1,drake,2,0.151280
3,uniform-random,1024,123456,2,parallel,1,0.437078
3,uniform-random,1024,123456,2,parallel,2,0.146950
3,uniform-random,1024,123456,2,drake,1,0.131444
3,uniform-random,1024,123456,2,drake,2,0.153306
3,uniform-random,4096,123456,1,parallel,1,0.354593
3,uniform-random,4096,123456,1,parallel,2,0.360949
3,uniform-random,4096,123456,1,drake,1,0.347749
3,uniform-random,4096,123456,1,drake,2,0.347609
3,uniform-random,4096,123456,2,parallel,1,0.628169
3,uniform-random,4096,123456,2,parallel,2,0.341743
3,uniform-random,4096,123456,2,drake,1,0.358574
3,uniform-random,4096,123456,2,drake,2,0.357667
3,uniform-random,16384,123456,1,parallel,1,1.124334
3,uniform-random,16384,123456,1,parallel,2,1.117838
3,uniform-random,16384,123456,1,drake,1,1.265697
3,uniform-random,16384,123456,1,drake,2,1.266744
3,uniform-random,16384,123456,2,parallel,1,1.253614
3,uniform-random,16384,123456,2,parallel,2,1.181605
3,uniform-random,16384,123456,2,drake,1,1.268979
3,uniform-random,16384,123456,2,drake,2,1.253474
3,increasing,1024,123456,1,parallel,1,0.146461
3,increasing,1024,123456,1,parallel,2,0.156309
3,increasing,1024,123456,1,drake,1,0.116009
3,increasing,1024,123456,1,drake,2,0.105742
3,increasing,4096,123456,1,parallel,1,0.196887
3,increasing,4096,123456,1,parallel,2,0.219517
3,increasing,4096,123456,1,drake,1,0.190741
3,increasing,4096,123456,1,drake,2,0.209739
3,increasing,16384,123456,1,parallel,1,0.554344
3,increasing,16384,123456,1,parallel,2,0.550643
3,increasing,16384,123456,1,drake,1,37.496867
3,increasing,16384,123456,1,drake,2,0.596250
3,decreasing,1024,123456,1,parallel,1,0.210856
3,decreasing,1024,123456,1,parallel,2,0.237955
3,decreasing,1024,123456,1,drake,1,0.096873
3,decreasing,1024,123456,1,drake,2,0.119082
3,decreasing,4096,123456,1,parallel,1,1.000572
3,decreasing,4096,123456,1,parallel,2,0.974730
3,decreasing,4096,123456,1,drake,1,0.208063
3,decreasing,4096,123456,1,drake,2,0.200799
3,decreasing,16384,123456,1,parallel,1,11.941911
3,decreasing,16384,123456,1,parallel,2,11.950990
3,decreasing,16384,123456,1,drake,1,0.621952
3,decreasing,16384,123456,1,drake,2,0.625724
3,constant,1024,123456,1,parallel,1,0.159102
3,constant,1024,123456,1,parallel,2,0.433166
3,constant,1024,123456,1,drake,1,0.084999
3,constant,1024,123456,1,drake,2,0.095825
3,constant,4096,123456,1,parallel,1,0.222241
3,constant,4096,123456,1,parallel,2,0.219307
3,constant,4096,123456,1,drake,1,0.085628
3,constant,4096,123456,1,drake,2,0.096453
3,constant,16384,123456,1,parallel,1,0.605610
3,constant,16384,123456,1,parallel,2,1.063431
3,constant,16384,123456,1,drake,1,0.220704
3,constant,16384,123456,1,drake,2,0.162036
4,uniform-random,1024,123456,1,parallel,1,0.189624
4,uniform-random,1024,123456,1,parallel,2,0.214907
4,uniform-random,1024,123456,1,drake,1,0.121248
4,uniform-random,1024,123456,1,drake,2,0.124042
4,uniform-random,1024,123456,2,parallel,1,0.186691
4,uniform-random,1024,123456,2,parallel,2,0.224895
4,uniform-random,1024,123456,2,drake,1,0.123063
4,uniform-random,1024,123456,2,drake,2,0.171605
4,uniform-random,4096,123456,1,parallel,1,0.325539
4,uniform-random,4096,123456,1,parallel,2,0.325399
4,uniform-random,4096,123456,1,drake,1,0.274414
4,uniform-random,4096,123456,1,drake,2,0.269595
4,uniform-random,4096,123456,2,parallel,1,0.333431
4,uniform-random,4096,123456,2,parallel,2,0.356828
4,uniform-random,4096,123456,2,drake,1,0.276579
4,uniform-random,4096,123456,2,drake,2,0.278395
4,uniform-random,16384,123456,1,parallel,1,1.127896
4,uniform-random,16384,123456,1,parallel,2,1.158626
4,uniform-random,16384,123456,1,drake,1,0.964603
4,uniform-random,16384,123456,1,drake,2,0.937853
4,uniform-random,16384,123456,2,parallel,1,1.277779
4,uniform-random,16384,123456,2,parallel,2,1.141026
4,uniform-random,16384,123456,2,drake,1,0.922138
4,uniform-random,16384,123456,2,drake,2,0.941415
4,increasing,1024,123456,1,parallel,1,0.165039
4,increasing,1024,123456,1,parallel,2,0.150931
4,increasing,1024,123456,1,drake,1,0.100784
4,increasing,1024,123456,1,drake,2,0.101342
4,increasing,4096,123456,1,parallel,1,0.501683
4,increasing,4096,123456,1,parallel,2,0.495886
4,increasing,4096,123456,1,drake,1,0.170138
4,increasing,4096,123456,1,drake,2,0.164621
4,increasing,16384,123456,1,parallel,1,0.593317
4,increasing,16384,123456,1,parallel,2,0.751093
4,increasing,16384,123456,1,drake,1,0.495955
4,increasing,16384,123456,1,drake,2,0.459218
4,decreasing,1024,123456,1,parallel,1,0.772605
4,decreasing,1024,123456,1,parallel,2,0.567056
4,decreasing,1024,123456,1,drake,1,0.096453
4,decreasing,1024,123456,1,drake,2,0.099247
4,decreasing,4096,123456,1,parallel,1,1.340150
4,decreasing,4096,123456,1,parallel,2,1.080612
4,decreasing,4096,123456,1,drake,1,0.166436
4,decreasing,4096,123456,1,drake,2,0.166576
4,decreasing,16384,123456,1,parallel,1,12.023836
4,decreasing,16384,123456,1,parallel,2,12.088511
4,decreasing,16384,123456,1,drake,1,0.475492
4,decreasing,16384,123456,1,drake,2,0.453841
4,constant,1024,123456,1,parallel,1,0.415008
4,constant,1024,123456,1,parallel,2,0.148975
4,constant,1024,123456,1,drake,1,0.082764
4,constant,1024,123456,1,drake,2,0.080739
4,constant,4096,123456,1,parallel,1,0.280560
4,constant,4096,123456,1,parallel,2,0.233555
4,constant,4096,123456,1,drake,1,0.094637
4,constant,4096,123456,1,drake,2,20.248069
4,constant,16384,123456,1,parallel,1,0.667280
4,constant,16384,123456,1,parallel,2,1.385128
4,constant,16384,123456,1,drake,1,0.148067
4,constant,16384,123456,1,drake,2,0.158125
