"nb_threads","pattern","size","value","input_instance","implementation","run_instance","time"
seq,uniform-random,1024,123456,1,parallel,1,0.141362
seq,uniform-random,1024,123456,1,parallel,2,0.140664
seq,uniform-random,1024,123456,1,drake,1,0.176353
seq,uniform-random,1024,123456,1,drake,2,0.177611
seq,uniform-random,1024,123456,2,parallel,1,0.141013
seq,uniform-random,1024,123456,2,parallel,2,0.143737
seq,uniform-random,1024,123456,2,drake,1,0.254438
seq,uniform-random,1024,123456,2,drake,2,0.179846
seq,uniform-random,4096,123456,1,parallel,1,0.595621
seq,uniform-random,4096,123456,1,parallel,2,0.567056
seq,uniform-random,4096,123456,1,drake,1,0.687884
seq,uniform-random,4096,123456,1,drake,2,0.678106
seq,uniform-random,4096,123456,2,parallel,1,0.563425
seq,uniform-random,4096,123456,2,parallel,2,0.576834
seq,uniform-random,4096,123456,2,drake,1,0.705555
seq,uniform-random,4096,123456,2,drake,2,0.706183
seq,uniform-random,16384,123456,1,parallel,1,2.473144
seq,uniform-random,16384,123456,1,parallel,2,2.502198
seq,uniform-random,16384,123456,1,drake,1,2.851553
seq,uniform-random,16384,123456,1,drake,2,2.844150
seq,uniform-random,16384,123456,2,parallel,1,2.490814
seq,uniform-random,16384,123456,2,parallel,2,2.506179
seq,uniform-random,16384,123456,2,drake,1,2.917206
seq,uniform-random,16384,123456,2,drake,2,2.862658
seq,increasing,1024,123456,1,parallel,1,0.061112
seq,increasing,1024,123456,1,parallel,2,0.058529
seq,increasing,1024,123456,1,drake,1,0.101552
seq,increasing,1024,123456,1,drake,2,0.114403
seq,increasing,4096,123456,1,parallel,1,0.221542
seq,increasing,4096,123456,1,parallel,2,0.225733
seq,increasing,4096,123456,1,drake,1,0.333151
seq,increasing,4096,123456,1,drake,2,0.343419
seq,increasing,16384,123456,1,parallel,1,1.445821
seq,increasing,16384,123456,1,parallel,2,0.970400
seq,increasing,16384,123456,1,drake,1,1.257455
seq,increasing,16384,123456,1,drake,2,1.283576
seq,decreasing,1024,123456,1,parallel,1,0.061322
seq,decreasing,1024,123456,1,parallel,2,0.062928
seq,decreasing,1024,123456,1,drake,1,0.133191
seq,decreasing,1024,123456,1,drake,2,0.134588
seq,decreasing,4096,123456,1,parallel,1,0.230552
seq,decreasing,4096,123456,1,parallel,2,0.226151
seq,decreasing,4096,123456,1,drake,1,0.342930
seq,decreasing,4096,123456,1,drake,2,0.327773
seq,decreasing,16384,123456,1,parallel,1,0.928005
seq,decreasing,16384,123456,1,parallel,2,0.913407
seq,decreasing,16384,123456,1,drake,1,1.291539
seq,decreasing,16384,123456,1,drake,2,1.284484
seq,constant,1024,123456,1,parallel,1,0.007054
seq,constant,1024,123456,1,parallel,2,0.008451
seq,constant,1024,123456,1,drake,1,0.033106
seq,constant,1024,123456,1,drake,2,0.032267
seq,constant,4096,123456,1,parallel,1,0.013759
seq,constant,4096,123456,1,parallel,2,0.014248
seq,constant,4096,123456,1,drake,1,0.082624
seq,constant,4096,123456,1,drake,2,0.050776
seq,constant,16384,123456,1,parallel,1,0.044071
seq,constant,16384,123456,1,parallel,2,0.044071
seq,constant,16384,123456,1,drake,1,0.141921
seq,constant,16384,123456,1,drake,2,0.148835
2,uniform-random,1024,123456,1,parallel,1,0.194653
2,uniform-random,1024,123456,1,parallel,2,0.183827
2,uniform-random,1024,123456,1,drake,1,0.125019
2,uniform-random,1024,123456,1,drake,2,0.124181
2,uniform-random,1024,123456,2,parallel,1,0.171395
2,uniform-random,1024,123456,2,parallel,2,0.185852
2,uniform-random,1024,123456,2,drake,1,0.123412
2,uniform-random,1024,123456,2,drake,2,0.123831
2,uniform-random,4096,123456,1,parallel,1,0.560980
2,uniform-random,4096,123456,1,parallel,2,0.321418
2,uniform-random,4096,123456,1,drake,1,0.427020
2,uniform-random,4096,123456,1,drake,2,0.393147
2,uniform-random,4096,123456,2,parallel,1,0.322675
2,uniform-random,4096,123456,2,parallel,2,0.326168
2,uniform-random,4096,123456,2,drake,1,0.394892
2,uniform-random,4096,123456,2,drake,2,0.723644
2,uniform-random,16384,123456,1,parallel,1,1.275474
2,uniform-random,16384,123456,1,parallel,2,1.147662
2,uniform-random,16384,123456,1,drake,1,1.651160
2,uniform-random,16384,123456,1,drake,2,1.715834
2,uniform-random,16384,123456,2,parallel,1,1.057774
2,uniform-random,16384,123456,2,parallel,2,1.056027
2,uniform-random,16384,123456,2,drake,1,1.594377
2,uniform-random,16384,123456,2,drake,2,1.623363
2,increasing,1024,123456,1,parallel,1,0.112657
2,increasing,1024,123456,1,parallel,2,0.119851
2,increasing,1024,123456,1,drake,1,0.085907
2,increasing,1024,123456,1,drake,2,0.153026
2,increasing,4096,123456,1,parallel,1,0.206596
2,increasing,4096,123456,1,parallel,2,0.208761
2,increasing,4096,123456,1,drake,1,0.202545
2,increasing,4096,123456,1,drake,2,0.204430
