"nb_threads","pattern","size","value","input_instance","implementation","run_instance","time"
seq,uniform-random,1024,123456,1,parallel,1,0.146042
seq,uniform-random,1024,123456,1,parallel,2,0.141083
seq,uniform-random,1024,123456,1,drake,1,0.195211
seq,uniform-random,1024,123456,1,drake,2,0.222660
seq,uniform-random,1024,123456,2,parallel,1,0.139756
seq,uniform-random,1024,123456,2,parallel,2,0.142270
seq,uniform-random,1024,123456,2,drake,1,0.174398
seq,uniform-random,1024,123456,2,drake,2,0.175585
seq,uniform-random,4096,123456,1,parallel,1,0.563983
seq,uniform-random,4096,123456,1,parallel,2,0.576485
seq,uniform-random,4096,123456,1,drake,1,0.691167
seq,uniform-random,4096,123456,1,drake,2,0.676849
seq,uniform-random,4096,123456,2,parallel,1,0.571316
seq,uniform-random,4096,123456,2,parallel,2,0.574111
seq,uniform-random,4096,123456,2,drake,1,0.689910
seq,uniform-random,4096,123456,2,drake,2,0.690190
seq,uniform-random,16384,123456,1,parallel,1,2.513792
seq,uniform-random,16384,123456,1,parallel,2,2.504014
seq,uniform-random,16384,123456,1,drake,1,2.862797
seq,uniform-random,16384,123456,1,drake,2,2.841915
seq,uniform-random,16384,123456,2,parallel,1,2.514421
seq,uniform-random,16384,123456,2,parallel,2,2.507227
seq,uniform-random,16384,123456,2,drake,1,2.857629
seq,uniform-random,16384,123456,2,drake,2,2.858188
seq,increasing,1024,123456,1,parallel,1,0.061182
seq,increasing,1024,123456,1,parallel,2,0.085348
seq,increasing,1024,123456,1,drake,1,0.111609
seq,increasing,1024,123456,1,drake,2,0.101762
seq,increasing,4096,123456,1,parallel,1,0.229015
seq,increasing,4096,123456,1,parallel,2,0.225104
seq,increasing,4096,123456,1,drake,1,0.346282
seq,increasing,4096,123456,1,drake,2,0.329310
seq,increasing,16384,123456,1,parallel,1,0.911662
seq,increasing,16384,123456,1,parallel,2,1.002108
seq,increasing,16384,123456,1,drake,1,1.286649
seq,increasing,16384,123456,1,drake,2,1.301805
seq,decreasing,1024,123456,1,parallel,1,0.061672
seq,decreasing,1024,123456,1,parallel,2,0.059716
seq,decreasing,1024,123456,1,drake,1,0.133680
seq,decreasing,1024,123456,1,drake,2,0.116568
seq,decreasing,4096,123456,1,parallel,1,0.262121
seq,decreasing,4096,123456,1,parallel,2,0.225034
seq,decreasing,4096,123456,1,drake,1,0.340136
seq,decreasing,4096,123456,1,drake,2,0.411236
seq,decreasing,16384,123456,1,parallel,1,0.930519
seq,decreasing,16384,123456,1,parallel,2,0.919903
seq,decreasing,16384,123456,1,drake,1,1.295869
seq,decreasing,16384,123456,1,drake,2,1.265976
seq,constant,1024,123456,1,parallel,1,0.007264
seq,constant,1024,123456,1,parallel,2,0.007403
seq,constant,1024,123456,1,drake,1,0.072777
seq,constant,1024,123456,1,drake,2,0.033176
seq,constant,4096,123456,1,parallel,1,0.013969
seq,constant,4096,123456,1,parallel,2,0.014038
seq,constant,4096,123456,1,drake,1,0.070262
seq,constant,4096,123456,1,drake,2,0.080948
seq,constant,16384,123456,1,parallel,1,0.044071
seq,constant,16384,123456,1,parallel,2,0.044140
seq,constant,16384,123456,1,drake,1,0.135216
seq,constant,16384,123456,1,drake,2,0.136403
2,uniform-random,1024,123456,1,parallel,1,0.146251
2,uniform-random,1024,123456,1,parallel,2,0.217841
2,uniform-random,1024,123456,1,drake,1,0.152188
2,uniform-random,1024,123456,1,drake,2,0.120828
2,uniform-random,1024,123456,2,parallel,1,0.160430
2,uniform-random,1024,123456,2,parallel,2,0.174398
2,uniform-random,1024,123456,2,drake,1,0.166785
2,uniform-random,1024,123456,2,drake,2,0.146880
2,uniform-random,4096,123456,1,parallel,1,0.287823
2,uniform-random,4096,123456,1,parallel,2,0.313036
2,uniform-random,4096,123456,1,drake,1,0.396499
2,uniform-random,4096,123456,1,drake,2,0.396150
2,uniform-random,4096,123456,2,parallel,1,0.327704
2,uniform-random,4096,123456,2,parallel,2,0.405090
2,uniform-random,4096,123456,2,drake,1,0.385254
