"nb_threads","pattern","size","value","input_instance","implementation","run_instance","time"
seq,uniform-random,1024,123456,1,parallel,1,0.142340
seq,uniform-random,1024,123456,1,parallel,2,0.143109
seq,uniform-random,1024,123456,1,drake,1,0.176005
seq,uniform-random,1024,123456,1,drake,2,0.239422
seq,uniform-random,1024,123456,2,parallel,1,0.142759
seq,uniform-random,1024,123456,2,parallel,2,0.141432
seq,uniform-random,1024,123456,2,drake,1,0.176982
seq,uniform-random,1024,123456,2,drake,2,0.176354
seq,uniform-random,4096,123456,1,parallel,1,0.570618
seq,uniform-random,4096,123456,1,parallel,2,0.587240
seq,uniform-random,4096,123456,1,drake,1,0.688652
seq,uniform-random,4096,123456,1,drake,2,0.673078
seq,uniform-random,4096,123456,2,parallel,1,0.569011
seq,uniform-random,4096,123456,2,parallel,2,0.568732
seq,uniform-random,4096,123456,2,drake,1,0.676570
seq,uniform-random,4096,123456,2,drake,2,0.661624
seq,uniform-random,16384,123456,1,parallel,1,2.468464
seq,uniform-random,16384,123456,1,parallel,2,2.482781
seq,uniform-random,16384,123456,1,drake,1,2.823197
seq,uniform-random,16384,123456,1,drake,2,2.969239
seq,uniform-random,16384,123456,2,parallel,1,2.487880
seq,uniform-random,16384,123456,2,parallel,2,2.492350
seq,uniform-random,16384,123456,2,drake,1,2.860493
seq,uniform-random,16384,123456,2,drake,2,3.128621
seq,increasing,1024,123456,1,parallel,1,0.058878
seq,increasing,1024,123456,1,parallel,2,0.061951
seq,increasing,1024,123456,1,drake,1,0.188506
seq,increasing,1024,123456,1,drake,2,0.130047
seq,increasing,4096,123456,1,parallel,1,0.225384
seq,increasing,4096,123456,1,parallel,2,0.307589
seq,increasing,4096,123456,1,drake,1,0.357457
seq,increasing,4096,123456,1,drake,2,0.340554
seq,increasing,16384,123456,1,parallel,1,0.925142
seq,increasing,16384,123456,1,parallel,2,0.930380
seq,increasing,16384,123456,1,drake,1,1.254800
seq,increasing,16384,123456,1,drake,2,1.283157
seq,decreasing,1024,123456,1,parallel,1,0.059926
seq,decreasing,1024,123456,1,parallel,2,0.060414
seq,decreasing,1024,123456,1,drake,1,0.102600
seq,decreasing,1024,123456,1,drake,2,0.101343
seq,decreasing,4096,123456,1,parallel,1,0.228736
seq,decreasing,4096,123456,1,parallel,2,0.245219
seq,decreasing,4096,123456,1,drake,1,0.327145
seq,decreasing,4096,123456,1,drake,2,0.329380
seq,decreasing,16384,123456,1,parallel,1,0.925071
seq,decreasing,16384,123456,1,parallel,2,0.929751
seq,decreasing,16384,123456,1,drake,1,1.277569
seq,decreasing,16384,123456,1,drake,2,1.291049
seq,constant,1024,123456,1,parallel,1,0.006984
seq,constant,1024,123456,1,parallel,2,0.006984
seq,constant,1024,123456,1,drake,1,0.032897
seq,constant,1024,123456,1,drake,2,0.037645
seq,constant,4096,123456,1,parallel,1,0.014178
seq,constant,4096,123456,1,parallel,2,0.014038
seq,constant,4096,123456,1,drake,1,0.077037
seq,constant,4096,123456,1,drake,2,0.080460
seq,constant,16384,123456,1,parallel,1,0.044629
seq,constant,16384,123456,1,parallel,2,0.044839
seq,constant,16384,123456,1,drake,1,0.122645
seq,constant,16384,123456,1,drake,2,0.142340
2,uniform-random,1024,123456,1,parallel,1,0.147997
2,uniform-random,1024,123456,1,parallel,2,0.187878
2,uniform-random,1024,123456,1,drake,1,0.122575
2,uniform-random,1024,123456,1,drake,2,0.122365
2,uniform-random,1024,123456,2,parallel,1,0.187459
2,uniform-random,1024,123456,2,parallel,2,0.156309
2,uniform-random,1024,123456,2,drake,1,0.152188
2,uniform-random,1024,123456,2,drake,2,0.127254
2,uniform-random,4096,123456,1,parallel,1,0.370098
2,uniform-random,4096,123456,1,parallel,2,0.312897
2,uniform-random,4096,123456,1,drake,1,0.386512
2,uniform-random,4096,123456,1,drake,2,0.382531
2,uniform-random,4096,123456,2,parallel,1,0.328821
2,uniform-random,4096,123456,2,parallel,2,0.308218
2,uniform-random,4096,123456,2,drake,1,0.397058
2,uniform-random,4096,123456,2,drake,2,0.383858
2,uniform-random,16384,123456,1,parallel,1,1.050719
2,uniform-random,16384,123456,1,parallel,2,1.073488
2,uniform-random,16384,123456,1,drake,1,1.599267
2,uniform-random,16384,123456,1,drake,2,1.656329
2,uniform-random,16384,123456,2,parallel,1,1.081869
2,uniform-random,16384,123456,2,parallel,2,1.046878
2,uniform-random,16384,123456,2,drake,1,1.603178
2,uniform-random,16384,123456,2,drake,2,1.612257
2,increasing,1024,123456,1,parallel,1,0.161197
2,increasing,1024,123456,1,parallel,2,0.127464
2,increasing,1024,123456,1,drake,1,0.082625
2,increasing,1024,123456,1,drake,2,0.086745
2,increasing,4096,123456,1,parallel,1,0.220075
2,increasing,4096,123456,1,parallel,2,0.200240
2,increasing,4096,123456,1,drake,1,0.225942
2,increasing,4096,123456,1,drake,2,0.201008
2,increasing,16384,123456,1,parallel,1,0.573971
2,increasing,16384,123456,1,parallel,2,0.573761
2,increasing,16384,123456,1,drake,1,0.741455
2,increasing,16384,123456,1,drake,2,0.889801
2,decreasing,1024,123456,1,parallel,1,0.180265
2,decreasing,1024,123456,1,parallel,2,0.209110
2,decreasing,1024,123456,1,drake,1,0.084859
2,decreasing,1024,123456,1,drake,2,0.085627
2,decreasing,4096,123456,1,parallel,1,1.508680
2,decreasing,4096,123456,1,parallel,2,0.938761
2,decreasing,4096,123456,1,drake,1,0.204012
2,decreasing,4096,123456,1,drake,2,0.210297
2,decreasing,16384,123456,1,parallel,1,11.895881
2,decreasing,16384,123456,1,parallel,2,23.218282
2,decreasing,16384,123456,1,drake,1,0.779938
2,decreasing,16384,123456,1,drake,2,0.736565
2,constant,1024,123456,1,parallel,1,0.152887
2,constant,1024,123456,1,parallel,2,0.177262
2,constant,1024,123456,1,drake,1,0.047493
2,constant,1024,123456,1,drake,2,0.047283
2,constant,4096,123456,1,parallel,1,0.202685
2,constant,4096,123456,1,parallel,2,0.225244
2,constant,4096,123456,1,drake,1,0.071589
2,constant,4096,123456,1,drake,2,0.061392
2,constant,16384,123456,1,parallel,1,0.586054
2,constant,16384,123456,1,parallel,2,0.582072
2,constant,16384,123456,1,drake,1,0.118873
2,constant,16384,123456,1,drake,2,0.118244
3,uniform-random,1024,123456,1,parallel,1,0.159033
3,uniform-random,1024,123456,1,parallel,2,0.150163
3,uniform-random,1024,123456,2,parallel,1,0.160150
3,uniform-random,1024,123456,2,parallel,2,0.399642
3,uniform-random,4096,123456,1,parallel,1,0.326097
3,uniform-random,4096,123456,1,parallel,2,0.313176
3,uniform-random,4096,123456,2,parallel,1,0.316109
3,uniform-random,4096,123456,2,parallel,2,0.309055
3,uniform-random,16384,123456,1,parallel,1,1.168614
3,uniform-random,16384,123456,1,parallel,2,1.122308
3,uniform-random,16384,123456,2,parallel,1,1.092625
3,uniform-random,16384,123456,2,parallel,2,1.328695
3,increasing,1024,123456,1,parallel,1,0.138010
3,increasing,1024,123456,1,parallel,2,0.147858
3,increasing,4096,123456,1,parallel,1,0.205898
3,increasing,4096,123456,1,parallel,2,0.227549
3,increasing,16384,123456,1,parallel,1,0.565659
3,increasing,16384,123456,1,parallel,2,0.541354
3,decreasing,1024,123456,1,parallel,1,0.204361
3,decreasing,1024,123456,1,parallel,2,0.204291
3,decreasing,4096,123456,1,parallel,1,0.978222
3,decreasing,4096,123456,1,parallel,2,1.019639
3,decreasing,16384,123456,1,parallel,1,11.933877
3,decreasing,16384,123456,1,parallel,2,12.078452
3,constant,1024,123456,1,parallel,1,0.433446
3,constant,1024,123456,1,parallel,2,0.140664
3,constant,4096,123456,1,parallel,1,0.215466
3,constant,4096,123456,1,parallel,2,0.210995
3,constant,16384,123456,1,parallel,1,0.612174
3,constant,16384,123456,1,parallel,2,0.630962
4,uniform-random,1024,123456,1,parallel,1,0.212322
4,uniform-random,1024,123456,1,parallel,2,0.180265
4,uniform-random,1024,123456,1,drake,1,0.163363
4,uniform-random,1024,123456,1,drake,2,0.139616
4,uniform-random,1024,123456,2,parallel,1,0.189204
4,uniform-random,1024,123456,2,parallel,2,0.212672
4,uniform-random,1024,123456,2,drake,1,0.150023
4,uniform-random,1024,123456,2,drake,2,0.153654
4,uniform-random,4096,123456,1,parallel,1,0.354873
4,uniform-random,4096,123456,1,parallel,2,0.353127
4,uniform-random,4096,123456,1,drake,1,0.406696
4,uniform-random,4096,123456,1,drake,2,0.405369
4,uniform-random,4096,123456,2,parallel,1,0.562935
4,uniform-random,4096,123456,2,parallel,2,0.341812
4,uniform-random,4096,123456,2,drake,1,1.658005
4,uniform-random,4096,123456,2,drake,2,0.396779
4,uniform-random,16384,123456,1,parallel,1,1.321920
4,uniform-random,16384,123456,1,parallel,2,1.320942
4,uniform-random,16384,123456,1,drake,1,1.622455
4,uniform-random,16384,123456,1,drake,2,1.623223
4,uniform-random,16384,123456,2,parallel,1,1.119585
4,uniform-random,16384,123456,2,parallel,2,1.381775
