"nb_threads","pattern","size","value","input_instance","implementation","run_instance","time"
seq,uniform-random,1024,123456,1,parallel,1,0.143877
seq,uniform-random,1024,123456,1,parallel,2,0.142270
seq,uniform-random,1024,123456,1,drake,1,0.193046
seq,uniform-random,1024,123456,1,drake,2,0.178309
seq,uniform-random,1024,123456,2,parallel,1,0.142410
seq,uniform-random,1024,123456,2,parallel,2,0.139337
seq,uniform-random,1024,123456,2,drake,1,0.181383
seq,uniform-random,1024,123456,2,drake,2,0.194443
seq,uniform-random,4096,123456,1,parallel,1,0.572154
seq,uniform-random,4096,123456,1,parallel,2,0.563214
seq,uniform-random,4096,123456,1,drake,1,0.689910
seq,uniform-random,4096,123456,1,drake,2,0.685720
seq,uniform-random,4096,123456,2,parallel,1,0.572434
seq,uniform-random,4096,123456,2,parallel,2,0.569919
seq,uniform-random,4096,123456,2,drake,1,0.692284
seq,uniform-random,4096,123456,2,drake,2,0.662880
seq,uniform-random,16384,123456,1,parallel,1,2.468953
seq,uniform-random,16384,123456,1,parallel,2,2.563520
seq,uniform-random,16384,123456,1,drake,1,2.878792
seq,uniform-random,16384,123456,1,drake,2,2.879141
seq,uniform-random,16384,123456,2,parallel,1,2.502198
seq,uniform-random,16384,123456,2,parallel,2,2.499544
seq,uniform-random,16384,123456,2,drake,1,2.905123
seq,uniform-random,16384,123456,2,drake,2,2.845407
seq,increasing,1024,123456,1,parallel,1,0.059297
seq,increasing,1024,123456,1,parallel,2,0.062510
seq,increasing,1024,123456,1,drake,1,0.129978
seq,increasing,1024,123456,1,drake,2,0.100784
seq,increasing,4096,123456,1,parallel,1,0.228107
seq,increasing,4096,123456,1,parallel,2,0.222799
seq,increasing,4096,123456,1,drake,1,0.350612
seq,increasing,4096,123456,1,drake,2,0.354872
seq,increasing,16384,123456,1,parallel,1,0.917807
seq,increasing,16384,123456,1,parallel,2,0.922697
seq,increasing,16384,123456,1,drake,1,1.281202
seq,increasing,16384,123456,1,drake,2,1.302923
seq,decreasing,1024,123456,1,parallel,1,0.062230
seq,decreasing,1024,123456,1,parallel,2,0.062021
seq,decreasing,1024,123456,1,drake,1,0.101552
seq,decreasing,1024,123456,1,drake,2,0.101133
seq,decreasing,4096,123456,1,parallel,1,0.226920
seq,decreasing,4096,123456,1,parallel,2,0.240610
seq,decreasing,4096,123456,1,drake,1,0.344536
seq,decreasing,4096,123456,1,drake,2,0.373940
seq,decreasing,16384,123456,1,parallel,1,0.925421
seq,decreasing,16384,123456,1,parallel,2,0.917808
seq,decreasing,16384,123456,1,drake,1,1.330581
seq,decreasing,16384,123456,1,drake,2,1.329183
seq,constant,1024,123456,1,parallel,1,0.007124
seq,constant,1024,123456,1,parallel,2,0.007403
seq,constant,1024,123456,1,drake,1,0.033245
seq,constant,1024,123456,1,drake,2,0.033595
seq,constant,4096,123456,1,parallel,1,0.014039
seq,constant,4096,123456,1,parallel,2,0.013759
seq,constant,4096,123456,1,drake,1,0.053081
seq,constant,4096,123456,1,drake,2,0.051265
seq,constant,16384,123456,1,parallel,1,0.044421
seq,constant,16384,123456,1,parallel,2,0.044351
seq,constant,16384,123456,1,drake,1,0.121737
seq,constant,16384,123456,1,drake,2,0.117895
2,uniform-random,1024,123456,1,parallel,1,0.183059
2,uniform-random,1024,123456,1,parallel,2,0.134518
2,uniform-random,1024,123456,1,drake,1,0.120619
2,uniform-random,1024,123456,1,drake,2,0.123204
2,uniform-random,1024,123456,2,parallel,1,0.179148
2,uniform-random,1024,123456,2,parallel,2,0.214767
2,uniform-random,1024,123456,2,drake,1,0.160290
2,uniform-random,1024,123456,2,drake,2,0.135636
2,uniform-random,4096,123456,1,parallel,1,0.304166
2,uniform-random,4096,123456,1,parallel,2,0.334199
2,uniform-random,4096,123456,1,drake,1,0.396290
2,uniform-random,4096,123456,1,drake,2,0.385744
2,uniform-random,4096,123456,2,parallel,1,0.304307
2,uniform-random,4096,123456,2,parallel,2,0.296484
2,uniform-random,4096,123456,2,drake,1,0.390213
2,uniform-random,4096,123456,2,drake,2,0.384695
2,uniform-random,16384,123456,1,parallel,1,1.043386
2,uniform-random,16384,123456,1,parallel,2,1.064549
2,uniform-random,16384,123456,1,drake,1,1.605622
2,uniform-random,16384,123456,1,drake,2,1.599406
2,uniform-random,16384,123456,2,parallel,1,1.037310
2,uniform-random,16384,123456,2,parallel,2,1.084244
2,uniform-random,16384,123456,2,drake,1,1.666386
2,uniform-random,16384,123456,2,drake,2,1.582086
2,increasing,1024,123456,1,parallel,1,0.138639
2,increasing,1024,123456,1,parallel,2,0.104136
2,increasing,1024,123456,1,drake,1,0.109304
2,increasing,1024,123456,1,drake,2,0.082415
2,increasing,4096,123456,1,parallel,1,0.224266
2,increasing,4096,123456,1,parallel,2,0.223567
2,increasing,4096,123456,1,drake,1,0.224825
2,increasing,4096,123456,1,drake,2,0.203592
2,increasing,16384,123456,1,parallel,1,0.538281
2,increasing,16384,123456,1,parallel,2,0.528503
2,increasing,16384,123456,1,drake,1,0.813532
2,increasing,16384,123456,1,drake,2,0.751092
2,decreasing,1024,123456,1,parallel,1,0.189275
2,decreasing,1024,123456,1,parallel,2,0.214138
2,decreasing,1024,123456,1,drake,1,0.083113
2,decreasing,1024,123456,1,drake,2,0.083742
2,decreasing,4096,123456,1,parallel,1,1.064129
2,decreasing,4096,123456,1,parallel,2,1.214641
2,decreasing,4096,123456,1,drake,1,0.225174
2,decreasing,4096,123456,1,drake,2,0.203802
2,decreasing,16384,123456,1,parallel,1,11.970963
2,decreasing,16384,123456,1,parallel,2,11.916555
2,decreasing,16384,123456,1,drake,1,1.288186
2,decreasing,16384,123456,1,drake,2,0.780845
2,constant,1024,123456,1,parallel,1,0.139826
2,constant,1024,123456,1,parallel,2,0.149604
2,constant,1024,123456,1,drake,1,0.070053
2,constant,1024,123456,1,drake,2,0.057062
2,constant,4096,123456,1,parallel,1,0.226012
2,constant,4096,123456,1,parallel,2,0.212672
2,constant,4096,123456,1,drake,1,0.083463
2,constant,4096,123456,1,drake,2,0.058528
2,constant,16384,123456,1,parallel,1,0.572294
2,constant,16384,123456,1,parallel,2,0.575576
2,constant,16384,123456,1,drake,1,0.141432
2,constant,16384,123456,1,drake,2,0.115940
3,uniform-random,1024,123456,1,parallel,1,0.148346
3,uniform-random,1024,123456,1,parallel,2,0.178379
3,uniform-random,1024,123456,1,drake,1,0.130397
3,uniform-random,1024,123456,1,drake,2,0.132213
3,uniform-random,1024,123456,2,parallel,1,0.162525
3,uniform-random,1024,123456,2,parallel,2,0.155261
3,uniform-random,1024,123456,2,drake,1,0.151700
3,uniform-random,1024,123456,2,drake,2,0.153515
3,uniform-random,4096,123456,1,parallel,1,0.328681
3,uniform-random,4096,123456,1,parallel,2,0.553017
3,uniform-random,4096,123456,1,drake,1,0.351101
3,uniform-random,4096,123456,1,drake,2,0.359413
3,uniform-random,4096,123456,2,parallel,1,0.333640
3,uniform-random,4096,123456,2,parallel,2,0.304586
3,uniform-random,4096,123456,2,drake,1,0.371425
3,uniform-random,4096,123456,2,drake,2,0.354314
3,uniform-random,16384,123456,1,parallel,1,1.175319
3,uniform-random,16384,123456,1,parallel,2,1.098772
3,uniform-random,16384,123456,1,drake,1,1.220368
3,uniform-random,16384,123456,1,drake,2,1.249283
3,uniform-random,16384,123456,2,parallel,1,1.122169
3,uniform-random,16384,123456,2,parallel,2,1.334073
3,uniform-random,16384,123456,2,drake,1,1.237759
3,uniform-random,16384,123456,2,drake,2,1.238737
3,increasing,1024,123456,1,parallel,1,0.438126
3,increasing,1024,123456,1,parallel,2,0.151630
3,increasing,1024,123456,1,drake,1,0.107069
