"nb_threads","pattern","size","value","input_instance","implementation","run_instance","time"
seq,uniform-random,1024,123456,1,parallel,1,0.140106
seq,uniform-random,1024,123456,1,parallel,2,0.141433
seq,uniform-random,1024,123456,1,drake,1,0.211346
seq,uniform-random,1024,123456,1,drake,2,0.209949
seq,uniform-random,1024,123456,2,parallel,1,0.139477
seq,uniform-random,1024,123456,2,parallel,2,0.139337
seq,uniform-random,1024,123456,2,drake,1,0.213022
seq,uniform-random,1024,123456,2,drake,2,0.182081
seq,uniform-random,4096,123456,1,parallel,1,0.559516
seq,uniform-random,4096,123456,1,parallel,2,0.561541
seq,uniform-random,4096,123456,1,drake,1,0.972010
seq,uniform-random,4096,123456,1,drake,2,0.743622
seq,uniform-random,4096,123456,2,parallel,1,0.558887
seq,uniform-random,4096,123456,2,parallel,2,0.989750
seq,uniform-random,4096,123456,2,drake,1,0.961114
seq,uniform-random,4096,123456,2,drake,2,0.759756
seq,uniform-random,16384,123456,1,parallel,1,2.439977
seq,uniform-random,16384,123456,1,parallel,2,2.434879
seq,uniform-random,16384,123456,1,drake,1,2.836059
seq,uniform-random,16384,123456,1,drake,2,2.860784
seq,uniform-random,16384,123456,2,parallel,1,2.433482
seq,uniform-random,16384,123456,2,parallel,2,2.443679
seq,uniform-random,16384,123456,2,drake,1,2.834243
seq,uniform-random,16384,123456,2,drake,2,2.827050
seq,increasing,1024,123456,1,parallel,1,0.060485
seq,increasing,1024,123456,1,parallel,2,0.059856
seq,increasing,1024,123456,1,drake,1,0.101972
seq,increasing,1024,123456,1,drake,2,0.101412
seq,increasing,4096,123456,1,parallel,1,0.222451
seq,increasing,4096,123456,1,parallel,2,0.237677
seq,increasing,4096,123456,1,drake,1,0.355153
seq,increasing,4096,123456,1,drake,2,0.349566
seq,increasing,16384,123456,1,parallel,1,0.934574
seq,increasing,16384,123456,1,parallel,2,1.008259
seq,increasing,16384,123456,1,drake,1,1.335824
seq,increasing,16384,123456,1,drake,2,1.283371
seq,decreasing,1024,123456,1,parallel,1,0.063068
seq,decreasing,1024,123456,1,parallel,2,0.059506
seq,decreasing,1024,123456,1,drake,1,0.102880
seq,decreasing,1024,123456,1,drake,2,0.122086
seq,decreasing,4096,123456,1,parallel,1,0.223987
seq,decreasing,4096,123456,1,parallel,2,0.243893
seq,decreasing,4096,123456,1,drake,1,0.328822
seq,decreasing,4096,123456,1,drake,2,0.332175
seq,decreasing,16384,123456,1,parallel,1,0.975921
seq,decreasing,16384,123456,1,parallel,2,0.908731
seq,decreasing,16384,123456,1,drake,1,1.293009
seq,decreasing,16384,123456,1,drake,2,1.317455
seq,constant,1024,123456,1,parallel,1,0.007054
seq,constant,1024,123456,1,parallel,2,0.006985
seq,constant,1024,123456,1,drake,1,0.049728
seq,constant,1024,123456,1,drake,2,0.059227
seq,constant,4096,123456,1,parallel,1,0.014039
seq,constant,4096,123456,1,parallel,2,0.014109
seq,constant,4096,123456,1,drake,1,0.078574
seq,constant,4096,123456,1,drake,2,0.054688
seq,constant,16384,123456,1,parallel,1,0.045119
seq,constant,16384,123456,1,parallel,2,0.044351
seq,constant,16384,123456,1,drake,1,0.122855
seq,constant,16384,123456,1,drake,2,0.122925
2,uniform-random,1024,123456,1,parallel,1,0.209670
2,uniform-random,1024,123456,1,parallel,2,0.199961
2,uniform-random,1024,123456,1,drake,1,0.141154
2,uniform-random,1024,123456,1,drake,2,0.140105
2,uniform-random,1024,123456,2,parallel,1,0.198774
2,uniform-random,1024,123456,2,parallel,2,0.198216
2,uniform-random,1024,123456,2,drake,1,0.182291
2,uniform-random,1024,123456,2,drake,2,0.138709
2,uniform-random,4096,123456,1,parallel,1,0.402368
2,uniform-random,4096,123456,1,parallel,2,0.397408
2,uniform-random,4096,123456,1,drake,1,0.399993
2,uniform-random,4096,123456,1,drake,2,0.526549
2,uniform-random,4096,123456,2,parallel,1,0.402158
2,uniform-random,4096,123456,2,parallel,2,0.390983
2,uniform-random,4096,123456,2,drake,1,0.398107
2,uniform-random,4096,123456,2,drake,2,0.400901
2,uniform-random,16384,123456,1,parallel,1,1.112185
2,uniform-random,16384,123456,1,parallel,2,1.134814
2,uniform-random,16384,123456,1,drake,1,1.510432
2,uniform-random,16384,123456,1,drake,2,1.523213
2,uniform-random,16384,123456,2,parallel,1,1.117284
2,uniform-random,16384,123456,2,parallel,2,1.106459
2,uniform-random,16384,123456,2,drake,1,1.542839
2,uniform-random,16384,123456,2,drake,2,1.520909
2,increasing,1024,123456,1,parallel,1,0.146741
2,increasing,1024,123456,1,parallel,2,0.434077
2,increasing,1024,123456,1,drake,1,0.086466
2,increasing,1024,123456,1,drake,2,0.096523
2,increasing,4096,123456,1,parallel,1,0.218121
2,increasing,4096,123456,1,parallel,2,0.188228
2,increasing,4096,123456,1,drake,1,0.220774
2,increasing,4096,123456,1,drake,2,0.219658
2,increasing,16384,123456,1,parallel,1,0.542055
2,increasing,16384,123456,1,parallel,2,0.526339
2,increasing,16384,123456,1,drake,1,0.720504
2,increasing,16384,123456,1,drake,2,0.717222
2,decreasing,1024,123456,1,parallel,1,0.218121
2,decreasing,1024,123456,1,parallel,2,0.219867
2,decreasing,1024,123456,1,drake,1,0.116428
2,decreasing,1024,123456,1,drake,2,0.086605
2,decreasing,4096,123456,1,parallel,1,0.981299
2,decreasing,4096,123456,1,parallel,2,0.977458
2,decreasing,4096,123456,1,drake,1,0.206527
2,decreasing,4096,123456,1,drake,2,0.205688
2,decreasing,16384,123456,1,parallel,1,11.915975
2,decreasing,16384,123456,1,parallel,2,11.898443
2,decreasing,16384,123456,1,drake,1,0.755007
2,decreasing,16384,123456,1,drake,2,0.702554
2,constant,1024,123456,1,parallel,1,0.174468
2,constant,1024,123456,1,parallel,2,0.151420
2,constant,1024,123456,1,drake,1,0.050497
2,constant,1024,123456,1,drake,2,0.050078
2,constant,4096,123456,1,parallel,1,0.230204
2,constant,4096,123456,1,parallel,2,0.245569
2,constant,4096,123456,1,drake,1,0.080390
2,constant,4096,123456,1,drake,2,0.068307
