"nb_threads","pattern","size","value","input_instance","implementation","run_instance","time"
seq,uniform-random,32768,123456,1,parallel,1,5.349653
seq,uniform-random,32768,123456,1,parallel,2,5.373051
seq,uniform-random,32768,123456,1,drake,1,6.002968
seq,uniform-random,32768,123456,1,drake,2,5.988511
seq,uniform-random,32768,123456,2,parallel,1,5.338059
seq,uniform-random,32768,123456,2,parallel,2,5.363482
seq,uniform-random,32768,123456,2,drake,1,6.208378
seq,uniform-random,32768,123456,2,drake,2,5.959106
seq,uniform-random,131072,123456,1,parallel,1,22.727871
seq,uniform-random,131072,123456,1,parallel,2,22.719420
seq,uniform-random,131072,123456,1,drake,1,25.313892
seq,uniform-random,131072,123456,1,drake,2,24.969216
seq,uniform-random,131072,123456,2,parallel,1,22.742190
seq,uniform-random,131072,123456,2,parallel,2,22.737859
seq,uniform-random,131072,123456,2,drake,1,32.201287
seq,uniform-random,131072,123456,2,drake,2,25.934520
seq,uniform-random,524288,123456,1,parallel,1,96.191087
seq,uniform-random,524288,123456,1,parallel,2,96.530455
seq,uniform-random,524288,123456,1,drake,1,110.082794
seq,uniform-random,524288,123456,1,drake,2,106.245529
seq,uniform-random,524288,123456,2,parallel,1,107.963815
seq,uniform-random,524288,123456,2,parallel,2,96.244097
seq,uniform-random,524288,123456,2,drake,1,111.511998
seq,uniform-random,524288,123456,2,drake,2,111.476238
seq,increasing,32768,123456,1,parallel,1,1.943532
seq,increasing,32768,123456,1,parallel,2,1.940738
seq,increasing,32768,123456,1,drake,1,2.623248
seq,increasing,32768,123456,1,drake,2,3.342145
seq,increasing,131072,123456,1,parallel,1,7.970665
seq,increasing,131072,123456,1,parallel,2,8.006215
seq,increasing,131072,123456,1,drake,1,10.820973
seq,increasing,131072,123456,1,drake,2,11.205042
seq,increasing,524288,123456,1,parallel,1,33.371233
seq,increasing,524288,123456,1,parallel,2,33.351328
seq,increasing,524288,123456,1,drake,1,44.649610
seq,increasing,524288,123456,1,drake,2,44.662672
seq,decreasing,32768,123456,1,parallel,1,1.892895
seq,decreasing,32768,123456,1,parallel,2,1.926140
seq,decreasing,32768,123456,1,drake,1,2.593564
seq,decreasing,32768,123456,1,drake,2,2.619685
seq,decreasing,131072,123456,1,parallel,1,8.055944
seq,decreasing,131072,123456,1,parallel,2,8.108885
seq,decreasing,131072,123456,1,drake,1,10.829075
seq,decreasing,131072,123456,1,drake,2,10.735276
seq,decreasing,524288,123456,1,parallel,1,34.347225
seq,decreasing,524288,123456,1,parallel,2,34.166679
seq,decreasing,524288,123456,1,drake,1,44.587869
seq,decreasing,524288,123456,1,drake,2,44.956293
seq,constant,32768,123456,1,parallel,1,0.083393
seq,constant,32768,123456,1,parallel,2,0.082554
seq,constant,32768,123456,1,drake,1,0.218680
seq,constant,32768,123456,1,drake,2,0.235582
seq,constant,131072,123456,1,parallel,1,0.319464
seq,constant,131072,123456,1,parallel,2,0.301234
seq,constant,131072,123456,1,drake,1,0.789230
seq,constant,131072,123456,1,drake,2,0.747953
seq,constant,524288,123456,1,parallel,1,1.174695
seq,constant,524288,123456,1,parallel,2,1.199211
seq,constant,524288,123456,1,drake,1,2.650346
seq,constant,524288,123456,1,drake,2,2.612980
2,uniform-random,32768,123456,1,parallel,1,1.836671
2,uniform-random,32768,123456,1,parallel,2,1.786523
2,uniform-random,32768,123456,1,drake,1,3.249463
2,uniform-random,32768,123456,1,drake,2,3.254073
2,uniform-random,32768,123456,2,parallel,1,1.799444
2,uniform-random,32768,123456,2,parallel,2,1.799235
2,uniform-random,32768,123456,2,drake,1,3.270905
